Type,Family,Model Name,Input Size,Accuracy
TBD,TBD,efficientnetv2_rw_t.ra2_in1k,288,82.354
TBD,TBD,efficientnetv2_rw_t.ra2_in1k,224,81.372
TBD,TBD,efficientvit_b0.r224_in1k,224,71.404
TBD,TBD,efficientvit_b1.r224_in1k,224,79.24
TBD,TBD,efficientvit_b1.r256_in1k,256,79.744
TBD,TBD,efficientvit_b1.r288_in1k,288,80.31
TBD,TBD,efficientvit_b2.r224_in1k,224,82.162
TBD,TBD,efficientvit_b2.r256_in1k,256,82.712
TBD,TBD,efficientvit_b2.r288_in1k,288,83.084
TBD,TBD,efficientvit_b3.r224_in1k,224,83.444
TBD,TBD,efficientvit_b3.r256_in1k,256,83.814
TBD,TBD,efficientvit_b3.r288_in1k,288,84.156
TBD,TBD,efficientvit_l1.r224_in1k,224,84.448
TBD,TBD,efficientvit_l2.r224_in1k,224,85.044
TBD,TBD,efficientvit_l2.r256_in1k,256,85.368
TBD,TBD,efficientvit_l2.r288_in1k,288,85.614
TBD,TBD,efficientvit_l2.r384_in1k,384,85.982
TBD,TBD,efficientvit_l3.r224_in1k,224,85.812
TBD,TBD,efficientvit_l3.r256_in1k,256,85.954
TBD,TBD,efficientvit_l3.r320_in1k,320,86.23
TBD,TBD,efficientvit_l3.r384_in1k,384,86.398
TBD,TBD,efficientvit_m0.r224_in1k,224,63.294
TBD,TBD,efficientvit_m1.r224_in1k,224,68.352
TBD,TBD,efficientvit_m2.r224_in1k,224,70.8
TBD,TBD,efficientvit_m3.r224_in1k,224,73.408
TBD,TBD,efficientvit_m4.r224_in1k,224,74.346
TBD,TBD,efficientvit_m5.r224_in1k,224,77.082
TBD,TBD,ese_vovnet19b_dw.ra_in1k,288,77.798
TBD,TBD,ese_vovnet19b_dw.ra_in1k,224,76.798
TBD,TBD,ese_vovnet39b.ra_in1k,288,80.378
TBD,TBD,ese_vovnet39b.ra_in1k,224,79.316
TBD,TBD,eva_giant_patch14_224.clip_ft_in1k,224,88.886
TBD,TBD,eva_giant_patch14_336.clip_ft_in1k,336,89.462
TBD,TBD,eva_giant_patch14_336.m30m_ft_in22k_in1k,336,89.57
TBD,TBD,eva_giant_patch14_560.m30m_ft_in22k_in1k,560,89.796
TBD,TBD,eva_large_patch14_196.in22k_ft_in1k,196,87.956
TBD,TBD,eva_large_patch14_196.in22k_ft_in22k_in1k,196,88.596
TBD,TBD,eva_large_patch14_336.in22k_ft_in1k,336,88.69
TBD,TBD,eva_large_patch14_336.in22k_ft_in22k_in1k,336,89.25
TBD,TBD,eva02_base_patch14_448.mim_in22k_ft_in1k,448,88.266
TBD,TBD,eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,448,88.682
TBD,TBD,eva02_large_patch14_448.mim_in22k_ft_in1k,448,89.632
