model_name,input_size_csv,input_size_cfg,crop_pct_csv,crop_pct_cfg,params_csv,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations
convnextv2_base.fcmae_ft_in22k_in1k,288,224,1.0,0.875,88.72,88717800,1013447016,88717800,25460188136,192772024
convnextv2_base.fcmae_ft_in22k_in1k,224,224,0.875,0.875,88.72,88717800,646674792,88717800,15402247144,116619192
convnextv2_base.fcmae_ft_in22k_in1k_384,384,384,1.0,1.0,88.72,88717800,1735529832,88717800,45261759464,342697912
convnextv2_femto.fcmae_ft_in1k,288,224,0.95,0.875,5.23,5233240,1296107944,5233240,1300874344,31234104
convnextv2_femto.fcmae_ft_in1k,224,224,0.875,0.875,5.23,5233240,784226728,5233240,787100776,18896952
convnextv2_huge.fcmae_ft_in1k,288,224,1.0,0.875,660.29,660289640,5642536712,660289640,190187437032,530117816
convnextv2_huge.fcmae_ft_in1k,224,224,0.875,0.875,660.29,660289640,3665028872,660289640,115052772328,320697528
convnextv2_huge.fcmae_ft_in22k_in1k_384,384,384,1.0,1.0,660.29,660289640,9535755272,660289640,338108808168,942414008
convnextv2_huge.fcmae_ft_in22k_in1k_512,512,512,1.0,1.0,660.29,660289640,16457032712,660289640,601080134632,1675385016
convnextv2_large.fcmae_ft_in1k,288,224,1.0,0.875,197.96,197956840,1965192232,197956840,56918373352,289156536
convnextv2_large.fcmae_ft_in1k,224,224,0.875,0.875,197.96,197956840,1264038952,197956840,34432709608,174927288
convnextv2_large.fcmae_ft_in22k_in1k,288,224,1.0,0.875,197.96,197956840,1965192232,197956840,56918373352,289156536
convnextv2_large.fcmae_ft_in22k_in1k,224,224,0.875,0.875,197.96,197956840,1264038952,197956840,34432709608,174927288
convnextv2_large.fcmae_ft_in22k_in1k_384,384,384,1.0,1.0,197.96,197956840,3345587752,197956840,101187023848,514045368
convnextv2_nano.fcmae_ft_in1k,288,224,1.0,0.875,15.62,15623800,4056078120,15623800,4064845160,57031480
convnextv2_nano.fcmae_ft_in1k,224,224,0.875,0.875,15.62,15623800,2453948200,15623800,2459233640,34503480
convnextv2_nano.fcmae_ft_in22k_in1k,288,224,1.0,0.875,15.62,15623800,4056078120,15623800,4064845160,57031480
convnextv2_nano.fcmae_ft_in22k_in1k,224,224,0.875,0.875,15.62,15623800,2453948200,15623800,2459233640,34503480
convnextv2_nano.fcmae_ft_in22k_in1k_384,384,384,1.0,1.0,15.62,15623800,7210271400,15623800,7225892840,101383480
convnextv2_pico.fcmae_ft_in1k,288,224,0.95,0.875,9.07,9066280,2269602024,9066280,2275957224,41644472
